Attendee,Join Time,Leave Time,Join Time Number,Leave Time Number
Judith Phelps,11/9/2020 14:15,11/9/2020 18:01,1915452900,1915466460
Judith Phelps,11/9/2020 18:01,11/9/2020 19:03,1915466460,1915470180
William Chen,11/9/2020 13:48,11/9/2020 19:03,1915451280,1915470180
Matthias Prince,11/9/2020 13:50,11/9/2020 19:03,1915451400,1915470180
Dylan Brown,11/9/2020 13:53,11/9/2020 16:03,1915451580,1915459380
Sam Robles,11/9/2020 15:24,11/9/2020 17:00,1915457040,1915462800
Sam Robles,11/9/2020 13:52,11/9/2020 15:09,1915451520,1915456140
Sam Robles,11/9/2020 15:13,11/9/2020 15:24,1915456380,1915457040
Sam Robles,11/9/2020 15:09,11/9/2020 15:13,1915456140,1915456380
Sam Robles,11/9/2020 17:00,11/9/2020 17:14,1915462800,1915463640
Sam Robles,11/9/2020 17:14,11/9/2020 17:18,1915463640,1915463880
Freddy Gilbert,11/9/2020 13:34,11/9/2020 18:57,1915450440,1915469820
Rishi Norris,11/9/2020 14:02,11/9/2020 16:36,1915452120,1915461360
Rishi Norris,11/9/2020 16:37,11/9/2020 18:18,1915461420,1915467480
Rishi Norris,11/9/2020 13:58,11/9/2020 14:02,1915451880,1915452120
Rishi Norris,11/9/2020 13:54,11/9/2020 13:58,1915451640,1915451880
Adison Lucas,11/9/2020 14:28,11/9/2020 18:08,1915453680,1915466880
Jayla Schmidt,11/9/2020 14:10,11/9/2020 15:06,1915452600,1915455960
Jayla Schmidt,11/9/2020 15:50,11/9/2020 16:26,1915458600,1915460760
Laci Best,11/9/2020 13:33,11/9/2020 18:02,1915450380,1915466520
Jane Watson,11/9/2020 14:20,11/9/2020 14:21,1915453200,1915453260
Jane Watson,11/9/2020 15:21,11/9/2020 15:41,1915456860,1915458060
Jane Watson,11/9/2020 15:01,11/9/2020 15:16,1915455660,1915456560
Ibrahim Norton,11/9/2020 13:29,11/9/2020 19:03,1915450140,1915470180
Lily Everett,11/9/2020 13:53,11/9/2020 18:16,1915451580,1915467360
Sariah Dorsey,11/9/2020 17:12,11/9/2020 17:59,1915463520,1915466340
Sariah Dorsey,11/9/2020 18:06,11/9/2020 18:10,1915466760,1915467000
Sariah Dorsey,11/9/2020 15:55,11/9/2020 17:12,1915458900,1915463520
Rose Wheeler,11/9/2020 16:25,11/9/2020 18:01,1915460700,1915466460
Rose Wheeler,11/9/2020 13:52,11/9/2020 15:01,1915451520,1915455660
Aditya Tyler,11/9/2020 13:55,11/9/2020 18:09,1915451700,1915466940
Dominick Ortega,11/9/2020 13:52,11/9/2020 15:01,1915451520,1915455660
Makenzie Sullivan,11/9/2020 13:59,11/9/2020 16:12,1915451940,1915459920
Parker Mendez,11/9/2020 17:13,11/9/2020 18:02,1915463580,1915466520
Parker Mendez,11/9/2020 13:21,11/9/2020 17:12,1915449660,1915463520
Yadiel Mata,11/9/2020 13:22,11/9/2020 14:16,1915449720,1915452960
Yadiel Mata,11/9/2020 14:24,11/9/2020 14:26,1915453440,1915453560
Joseph Navarro,11/9/2020 14:02,11/9/2020 18:12,1915452120,1915467120
Dawson Webster,11/9/2020 14:03,11/9/2020 15:03,1915452180,1915455780
Dawson Webster,11/9/2020 14:00,11/9/2020 14:03,1915452000,1915452180
Larry Grimes,11/9/2020 13:58,11/9/2020 19:03,1915451880,1915470180
Alice Duarte,11/9/2020 14:50,11/9/2020 18:29,1915455000,1915468140
Alice Duarte,11/9/2020 14:01,11/9/2020 14:48,1915452060,1915454880
Katherine Guzman,11/9/2020 13:50,11/9/2020 19:03,1915451400,1915470180
Kathryn Stafford,11/9/2020 13:49,11/9/2020 13:50,1915451340,1915451400
Kathryn Stafford,11/9/2020 13:50,11/9/2020 17:37,1915451400,1915465020
Mira Riddle,11/9/2020 13:58,11/9/2020 19:03,1915451880,1915470180
Gustavo Parker,11/9/2020 13:53,11/9/2020 15:55,1915451580,1915458900
Corinne Lester,11/9/2020 14:00,11/9/2020 14:33,1915452000,1915453980
Martha Valentine,11/9/2020 16:05,11/9/2020 16:05,1915459500,1915459500
Martha Valentine,11/9/2020 16:04,11/9/2020 17:11,1915459440,1915463460
Martha Valentine,11/9/2020 13:22,11/9/2020 13:23,1915449720,1915449780
Martha Valentine,11/9/2020 15:41,11/9/2020 16:04,1915458060,1915459440
Martha Valentine,11/9/2020 13:59,11/9/2020 15:01,1915451940,1915455660
Tanner Cross,11/9/2020 13:50,11/9/2020 17:29,1915451400,1915464540
Tanner Cross,11/9/2020 17:34,11/9/2020 18:22,1915464840,1915467720
Hallie Kaiser,11/9/2020 14:00,11/9/2020 18:02,1915452000,1915466520
Dwayne Logan,11/9/2020 13:56,11/9/2020 18:20,1915451760,1915467600
Hayden Hull,11/9/2020 14:01,11/9/2020 19:03,1915452060,1915470180
Ellie Mcmahon,11/9/2020 14:01,11/9/2020 19:03,1915452060,1915470180
Makayla Yang,11/9/2020 13:21,11/9/2020 18:05,1915449660,1915466700
Jamarcus Hart,11/9/2020 14:03,11/9/2020 14:05,1915452180,1915452300
Jamarcus Hart,11/9/2020 14:06,11/9/2020 17:58,1915452360,1915466280
Jamarcus Hart,11/9/2020 13:58,11/9/2020 14:03,1915451880,1915452180
Alannah Baird,11/9/2020 13:59,11/9/2020 17:18,1915451940,1915463880
Camila Blevins,11/9/2020 13:38,11/9/2020 18:08,1915450680,1915466880
Elisha Hicks,11/9/2020 14:23,11/9/2020 14:59,1915453380,1915455540
Elisha Hicks,11/9/2020 15:18,11/9/2020 16:01,1915456680,1915459260
Kayleigh Rodgers,11/9/2020 14:14,11/9/2020 14:24,1915452840,1915453440
Kayleigh Rodgers,11/9/2020 14:25,11/9/2020 14:30,1915453500,1915453800
Kayleigh Rodgers,11/9/2020 14:30,11/9/2020 15:38,1915453800,1915457880
Kayleigh Rodgers,11/9/2020 18:25,11/9/2020 19:03,1915467900,1915470180
Jamiya Davila,11/9/2020 15:15,11/9/2020 15:16,1915456500,1915456560
Jamiya Davila,11/9/2020 15:16,11/9/2020 15:17,1915456560,1915456620
Jamiya Davila,11/9/2020 16:28,11/9/2020 16:58,1915460880,1915462680
Jamiya Davila,11/9/2020 13:34,11/9/2020 14:03,1915450440,1915452180
Jamiya Davila,11/9/2020 14:03,11/9/2020 15:15,1915452180,1915456500
Jamiya Davila,11/9/2020 13:34,11/9/2020 13:34,1915450440,1915450440
Jamiya Davila,11/9/2020 15:18,11/9/2020 15:52,1915456680,1915458720
Ahmed Jensen,11/9/2020 15:17,11/9/2020 16:03,1915456620,1915459380
Carsen Ramirez,11/9/2020 13:47,11/9/2020 14:50,1915451220,1915455000
Jadiel Duncan,11/9/2020 15:27,11/9/2020 15:28,1915457220,1915457280
Jadiel Duncan,11/9/2020 15:29,11/9/2020 16:17,1915457340,1915460220
Jadiel Duncan,11/9/2020 14:00,11/9/2020 15:27,1915452000,1915457220
Jadiel Duncan,11/9/2020 17:17,11/9/2020 18:03,1915463820,1915466580
Hassan Howard,11/9/2020 15:12,11/9/2020 17:17,1915456320,1915463820
Veronica Lang,11/9/2020 13:51,11/9/2020 18:54,1915451460,1915469640
Alex Shah,11/9/2020 14:37,11/9/2020 14:58,1915454220,1915455480
Josephine Williamson,11/9/2020 13:54,11/9/2020 19:03,1915451640,1915470180
Valeria Moyer,11/9/2020 17:43,11/9/2020 19:03,1915465380,1915470180
Valeria Moyer,11/9/2020 14:01,11/9/2020 17:42,1915452060,1915465320
Marcus Roth,11/9/2020 13:54,11/9/2020 18:05,1915451640,1915466700
Milagros May,11/9/2020 15:25,11/9/2020 16:03,1915457100,1915459380
Milagros May,11/9/2020 16:27,11/9/2020 16:49,1915460820,1915462140
Milagros May,11/9/2020 16:49,11/9/2020 19:03,1915462140,1915470180
Giancarlo Mckee,11/9/2020 13:41,11/9/2020 17:17,1915450860,1915463820
Mila Patel,11/9/2020 17:31,11/9/2020 19:03,1915464660,1915470180
Mila Patel,11/9/2020 13:48,11/9/2020 14:59,1915451280,1915455540
Malia Mayer,11/9/2020 14:22,11/9/2020 17:11,1915453320,1915463460
Malia Mayer,11/9/2020 13:46,11/9/2020 13:47,1915451160,1915451220
German Washington,11/9/2020 14:53,11/9/2020 17:54,1915455180,1915466040
German Washington,11/9/2020 13:34,11/9/2020 13:35,1915450440,1915450500
German Washington,11/9/2020 13:36,11/9/2020 14:53,1915450560,1915455180
German Washington,11/9/2020 17:55,11/9/2020 18:03,1915466100,1915466580
Stanley Moreno,11/9/2020 13:51,11/9/2020 19:03,1915451460,1915470180
Elizabeth Mccarty,11/9/2020 13:59,11/9/2020 17:20,1915451940,1915464000
Celia Nichols,11/9/2020 13:52,11/9/2020 19:03,1915451520,1915470180
Clare Hicks,11/9/2020 13:32,11/9/2020 16:04,1915450320,1915459440
Clare Hicks,11/9/2020 16:04,11/9/2020 19:03,1915459440,1915470180
Lincoln Hernandez,11/9/2020 14:00,11/9/2020 14:57,1915452000,1915455420
Amani Hodge,11/9/2020 13:47,11/9/2020 13:50,1915451220,1915451400
Amani Hodge,11/9/2020 13:57,11/9/2020 17:16,1915451820,1915463760
Livia Fritz,11/9/2020 15:42,11/9/2020 18:12,1915458120,1915467120
Braylon Charles,11/9/2020 16:26,11/9/2020 17:54,1915460760,1915466040
Sharon Stephenson,11/9/2020 14:05,11/9/2020 18:02,1915452300,1915466520
Sharon Stephenson,11/9/2020 13:59,11/9/2020 14:03,1915451940,1915452180
Sharon Stephenson,11/9/2020 14:03,11/9/2020 14:05,1915452180,1915452300
Garrett Gibson,11/9/2020 13:48,11/9/2020 19:03,1915451280,1915470180
Cecelia Villegas,11/9/2020 13:55,11/9/2020 17:55,1915451700,1915466100
Destinee Blair,11/9/2020 13:52,11/9/2020 16:24,1915451520,1915460640
Emelia Cantrell,11/9/2020 13:21,11/9/2020 13:21,1915449660,1915449660
Emelia Cantrell,11/9/2020 13:23,11/9/2020 13:24,1915449780,1915449840
Emelia Cantrell,11/9/2020 13:39,11/9/2020 18:02,1915450740,1915466520
Marlon Buchanan,11/9/2020 13:49,11/9/2020 19:03,1915451340,1915470180
Scott Coleman,11/9/2020 14:03,11/9/2020 14:03,1915452180,1915452180
Scott Coleman,11/9/2020 14:03,11/9/2020 19:03,1915452180,1915470180
Scott Coleman,11/9/2020 13:59,11/9/2020 14:03,1915451940,1915452180
Caylee Rivas,11/9/2020 13:59,11/9/2020 15:01,1915451940,1915455660
Caylee Rivas,11/9/2020 16:31,11/9/2020 17:16,1915461060,1915463760
Terrence Fernandez,11/9/2020 13:52,11/9/2020 18:39,1915451520,1915468740
Lara Meadows,11/9/2020 13:52,11/9/2020 19:03,1915451520,1915470180
Perla Zamora,11/9/2020 14:12,11/9/2020 15:57,1915452720,1915459020
Kristin Dodson,11/9/2020 13:21,11/9/2020 19:03,1915449660,1915470180
